subjectLabel,propertyLabel,objectLabel,startDate,endDate,selected_link,source_date,span,annotator,notes
"Catherine, Princess of Wales",residence,Kensington Palace,2012-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.hellomagazine.com/royalty/201107195789/prince-william-kate-middleton-duchess-of-cambridge-kensington-palace/,7/19/2011,"Prince William's life has come full circle. It's been confirmed that he and new wife, the Duchess of Cambridge have moved into newly refurbished apartments in Kensington Palace, where he lived as a child with his late mother Diana. After their triumphant tour of North America, the Cambridges have set up home in one of London's most exclusive postcodes.",Belinda,
"Catherine, Princess of Wales",residence,Adelaide Cottage,2022-01-01T00:00:00Z,,https://www.bbc.com/news/uk-62632439,8/22/2022,"Adelaide Cottage: William and Kate to move to cottage on Windsor estate

The Duke and Duchess of Cambridge and their children are moving from Kensington Palace in west London to a cottage on the Queen's Windsor Estate.

Their new home, Adelaide Cottage, is a 10-minute walk from Windsor Castle.",Belinda,
Christopher Sembroski,employer,Lockheed Martin,2021-03-01T00:00:00Z,2022-04-01T00:00:00Z,https://www.geekwire.com/2021/everett-engineer-arizona-prof-join-billionaires-crew-charity-space-trip/,3/30/2021,"The crew is set for a philanthropic space flight that’s being funded by a tech billionaire — and Christopher Sembroski, a Lockheed Martin engineer from Everett, Wash., can thank a college buddy for being part of it.",Belinda,
Christopher Sembroski,employer,Blue Origin,2022-07-01T00:00:00Z,,https://www.geekwire.com/2022/after-flying-with-spacex-citizen-astronaut-chris-sembroski-joins-blue-origin-as-engineer/,7/18/2022,"The crew is set for a philanthropic space flight that’s being funded by a tech billionaire — and Christopher Sembroski, a Lockheed Martin engineer from Everett, Wash., can thank a college buddy for being part of it.",Belinda,
Scottish National Party,chairperson,Nicola Sturgeon,2014-11-14T00:00:00Z,2023-03-27T00:00:00Z,https://www.bbc.com/news/world-europe-32663083,11/30/2014,"The SNP leader and Scotland's First Minister, Nicola Sturgeon, said she wanted Scotland's voice to be heard and that it would be hard to ignore.",Belinda,
Scottish National Party,chairperson,Humza Yousaf,2023-03-27T00:00:00Z,,https://www.pbs.org/newshour/world/humza-yousaf-elected-as-new-scottish-leader,3/27/2023,Humza Yousaf elected as new Scottish leader,Belinda,
SVB Financial Group,headquarters location,Santa Clara,1995-01-01T00:00:00Z,2023-03-10T00:00:00Z,https://markets.businessinsider.com/news/stocks/svb-financial-group-appoints-john-clendening-to-its-board-of-directors-1002231921,8/3/2017,"SANTA CLARA, Calif., Aug. 3, 2017 /PRNewswire/ -- SVB Financial Group (NASDAQ: SIVB) today announced the appointment of John Clendening, president and CEO of Blucora, Inc. (NASDAQ: BCOR) to its board of directors. SVB Financial Group is the parent company of Silicon Valley Bank, the bank of the world's most innovative companies and their investors.",Belinda,
SVB Financial Group,headquarters location,New York City,2023-03-10T00:00:00Z,,https://www.bizjournals.com/sanjose/news/2023/03/23/svb-financial-is-no-longer-based-in-silicon-valley.html,3/23/2023,SVB Financial Group (SVB or SVBFG) is now headquartered in New York City.,Belinda,
YouTube,chief executive officer,Susan Wojcicki,2014-02-01T00:00:00Z,2023-02-16T00:00:00Z,https://www.today.com/parents/7-things-know-about-youtube-ceo-susan-wojcicki-1d80338563,12/5/2014,7 things to know about YouTube CEO Susan Wojcicki,Belinda,
United States House of Representatives,chairperson,Nancy Pelosi,2019-01-03T00:00:00Z,2023-01-08T00:00:00Z,https://www.history.com/this-day-in-history/nancy-pelosi-named-speaker-of-the-house-2004,12/6/2018,Nancy Pelosi becomes first female Speaker of the House,Belinda,
United States House of Representatives,chairperson,Kevin McCarthy,2023-01-08T00:00:00Z,2023-10-03T00:00:00Z,https://www.washingtonpost.com/politics/2023/01/06/house-speaker-vote-live-coverage-kevin-mccarthy/,1/7/2023,Post Politics Now House elects McCarthy as speaker after days of defeats and concessions,Belinda,
Randy Clarke,employer,Capital Metropolitan Transportation Authority,2018-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.statesman.com/story/news/2018/01/30/cap-metro-sets-285000-salary-for-new-ceo/9983061007/,2018-01-29,"The next president and chief executive officer of Capital Metro will be paid a salary of $285,000 a year, the transit board decided Monday.

Under the five-year contract, Randy Clarke also will be paid deferred compensation of $25,000 a year and will be eligible each year, subject to the board’s evaluation of his performance, for a raise in his base pay and a bonus of up to 10 percent.",Belinda,
YouTube,chief executive officer,Neal Mohan,2023-02-16T00:00:00Z,,https://www.vox.com/recode/2023/2/16/23602636/youtube-ceo-susan-wojcicki-leaving-neal-mohan,2/16/2023,"YouTube CEO Susan Wojcicki, who has led the world’s largest video site for the last nine years, is stepping down from her role. She’ll be replaced by Neal Mohan, her longtime lieutenant.",Belinda,
United States House of Representatives,chairperson,Mike Johnson,2023-10-25T00:00:00Z,,https://www.theguardian.com/us-news/2023/oct/25/mike-johnson-republican-house-speaker-vote,10/25/2023,Republican Mike Johnson elected House speaker after weeks of chaos,Belinda,
Vanessa Hudgens,residence,Los Feliz,2018-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.architecturaldigest.com/story/gary-oldman-sells-los-feliz-mansion-to-vanessa-hudgens-and-austin-butler,12/5/2018,Gary Oldman Sells Los Feliz Mansion to Vanessa Hudgens and Austin Butler,Belinda,
Vanessa Hudgens,residence,Studio City,2022-01-01T00:00:00Z,,https://www.architecturaldigest.com/story/vanessa-hudgens-buys-studio-city-modern-farmhouse,7/22/2022,Vanessa Hudgens Buys Studio City Modern Farmhouse for $7.5 Million,Belinda,
Danielle Marmer,employer,Boston Bruins,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.qu.edu/magazine/breaking-the-ice-danielle-marmer-makes-history-with-the-bruins/,2/27/2023,"Before she became the first female coach in the 98-year history of the National Hockey League’s Boston Bruins, Danielle Marmer ’17, MA ’21, was a Quinnipiac student at a crossroads.",Belinda,
Danielle Marmer,employer,PWHL Boston,2023-01-01T00:00:00Z,,https://www.lowellsun.com/2023/12/24/boston-gm-danielle-marmer-excited-about-inaugural-pwhl-season-in-lowell/,12/24/2023,"Danielle Marmer is ready to drop the puck in Lowell.

Fresh off a weeklong training camp in Utica, N.Y., the Quinnipiac grad is excited to be breaking new ice as general manager of PWHL Boston of the inaugural Professional Women’s Hockey League.",Belinda,
Jordan Schwartz,employer,Inter-American Development Bank,2023-06-01T00:00:00Z,,https://elpais.com/america/economia/ppp-americas/2023-07-21/jordan-schwartz-idb-official-latin-america-will-need-more-infrastructure-that-protects-us-from-environmental-catastrophe.html,7/21/2023,"Jordan Schwartz, Executive Vice President of the Inter-American Development Bank (IDB), during an interview in Panama City on July 18. Eliezer Ruiz (BID)",Belinda,
Sharla McBride,employer,WUSA,2020-03-01T00:00:00Z,2023-10-01T00:00:00Z,https://www.the-sun.com/entertainment/8733897/sharla-mcbride-wusa-reporter-don-geronnimo/,7/31/2023,SHARLA McBride is widely known for her sports coverage on WUSA 9.,Belinda,
Sharla McBride,employer,Newsmax TV,2023-10-01T00:00:00Z,,https://www.adweek.com/tvnewser/newsmax-names-sharla-mcbride-a-co-host-of-wake-up-america/,10/26/2023,Newsmax Names Sharla McBride a Co-Host of Wake Up America,Belinda,
realm of the United Kingdom,head of state,Elizabeth II,1952-02-06T00:00:00Z,2022-09-08T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,9/18/2020,"The Queen is head of state of 16 countries that are a part of the Commonwealth realm, including the UK.",Belinda,
United Kingdom,head of state,Elizabeth II,1952-02-06T00:00:00Z,2022-09-08T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,9/18/2020,"In which countries is Queen Elizabeth II head of state?

At one time, the Queen was the recognised head of state for all the Commonwealth countries - meaning she ruled over them in the same ceremonial way she does in the UK.",65e6238e5774c7e869f5defd,
United Kingdom,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"Charles is the head of the Commonwealth, an association of 56 independent countries and 2.5 billion people. For 14 of these countries, as well as the UK, the King is head of state.",65e6238e5774c7e869f5defd,
Kyrsten Sinema,member of political party,independent politician,2022-12-09T00:00:00Z,,https://www.cnn.com/2022/12/09/politics/kyrsten-sinema-leaves-democratic-party/index.html,12/9/2022,"Kyrsten Sinema leaving the Democratic Party and registering as an independent

CNN —

Arizona Sen. Kyrsten Sinema is leaving the Democratic Party and registering as a political independent, she told CNN’s Jake Tapper in an exclusive TV interview.",65e6238e5774c7e869f5defd,
Matty Healy,unmarried partner,FKA twigs,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://people.com/music/fka-twigs-dating-matty-healy-1975/,2/13/2020,"FKA twigs and The 1975 Frontman Matty Healy Are Dating: Source

FKA twigs has a new man in her life just ahead of Valentine’s Day.",65e6238e5774c7e869f5defd,
Matty Healy,unmarried partner,Gabbriette,2023-01-01T00:00:00Z,,https://people.com/who-is-gabbriette-bechtel-matty-healy-8407806,12/26/2023,"Who Is Matty Healy's Girlfriend? All About Gabbriette Bechtel

Matty Healy has been linked to model Gabbriette Bechtel since September 2023.",65e6238e5774c7e869f5defd,
Intergovernmental Panel on Climate Change,chairperson,James Skea,2023-07-28T00:00:00Z,,https://www.ipcc.ch/2023/07/26/jim-skea-new-ipcc-chair/,7/26/2023,"NAIROBI, July 26 – Jim Skea of the United Kingdom is the newly elected Chair of the Intergovernmental Panel on Climate Change (IPCC).",65e6238e5774c7e869f5defd,
Deep Saini,employer,Dalhousie University,2020-01-01T00:00:00Z,2022-12-01T00:00:00Z,https://www.dal.ca/news/2019/05/16/introducing-dalhousie-s-12th-president.html,5/16/2019,"On Thursday afternoon (May 16), Dalhousie’s Board of Governors announced that Deep Saini has been appointed as the 12th president and vice-chancellor of Dalhousie University.",65b7b0e4e6fa7d632205b4b6,
Deep Saini,employer,McGill University,2023-03-31T00:00:00Z,,https://www.mcgill.ca/newsroom/channels/news/mcgill-university-appoints-h-deep-saini-new-principal-and-vice-chancellor-343502,11/14/2022,"President and Vice-Chancellor of Dalhousie University takes the helm as the 18th Principal of McGill University on April 1, 2023",65b7b0e4e6fa7d632205b4b6,
Pat Fry,employer,Williams Racing,2023-01-01T00:00:00Z,,https://www.williamsf1.com/posts/18a2d889-8bf4-4b8c-90f1-5bca55a2da32/pat-fry-joins-as-chief-technical-officer,7/28/2023,Pat Fry joins Williams Racing as Chief Technical Officer,65b7b0e4e6fa7d632205b4b6,
realm of the United Kingdom,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"This was not a ""swearing in"" at the start of a British monarch's reign, in the style of some other heads of state, such as the president of the US.",6067641cf1a67d406e731220,
Zachary Bleemer,employer,Harvard University,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.washingtonpost.com/education/2021/09/21/why-grade-inflation-is-useful/,9/21/2021,"Zach Bleemer, a postdoctoral fellow at Opportunity Insights at Harvard University and a research associate at the Center for Studies in Higher Education at the University of California at Berkeley. Next fall, he will join the Yale School of Management as an assistant professor of economics.",6067641cf1a67d406e731220,
Zachary Bleemer,employer,Princeton University,2023-01-01T00:00:00Z,,https://www.npr.org/2023/06/27/1184461214/examining-the-impact-of-californias-ban-on-affirmative-action-in-public-schools,6/27/2023,"Zachary Bleemer, incoming assistant professor of economics at Princeton University, about the ban's impact.",6067641cf1a67d406e731220,
Haider Ala Hamoudi,employer,University of Cincinnati College of Law,2023-01-01T00:00:00Z,,https://www.utimes.pitt.edu/news/pitt-s-interim-law-dean,5/26/2023,"Haider Ala Hamoudi, who came to Pitt in 2007, has been serving as interim dean since Amy Wildermuth stepped down in January. Earlier this month, the University of Cincinnati College of Law announced that Hamoudi had been named the 27th dean of the school.",6067641cf1a67d406e731220,
Tuvalu,head of state,Elizabeth II,1978-01-01T00:00:00Z,2022-09-08T00:00:00Z,https://www.royal.uk/queen-address-united-nations,1/22/2010,The Queen will address the UN as the Head of State of the United Kingdom and 15 other United Nations member states.,638a8c63c74f91261108cebf,
Tuvalu,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"Charles is the head of the Commonwealth, an association of 56 independent countries and 2.5 billion people. For 14 of these countries, as well as the UK, the King is head of state.
Even though he has not been head of state for long, King Charles III",638a8c63c74f91261108cebf,
Saint Lucia,head of state,Elizabeth II,1979-02-22T00:00:00Z,2022-01-01T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,9/18/2020,"The Queen is head of state of 16 countries that are a part of the Commonwealth realm, including the UK.

These include Australia, Canada and New Zealand, as well as several island nations in the Caribbean and Indian Ocean.

These are Antigua and Barbuda, Barbados, The Bahamas, Belize, Grenada, Jamaica, Papua New Guinea, Saint Lucia, Solomon Islands, St Kitts and Nevis, and St Vincent and the Grenadines.",638a8c63c74f91261108cebf,
