Question,Answer,Answer choices,Start timestamp,End timestamp,Known start timestamp,Known end timestamp,Question type
What government position does Nicole Grohoski hold?,member of the Maine House of Representatives,,2018-12-05T00:00:00Z,2022-07-06T00:00:00Z,2021-06-30T00:00:00Z,2022-06-14T00:00:00Z,position held
Does Nicole Grohoski hold government position member of the Maine House of Representatives?,yes,,2018-12-05T00:00:00Z,2022-07-06T00:00:00Z,2021-06-30T00:00:00Z,2022-06-14T00:00:00Z,position held
Does Nicole Grohoski hold government position member of the Maine House of Representatives?,no,,2022-07-06T00:00:00Z,,2022-06-14 00:00:00,,position held
What government position does Nicole Grohoski hold?,member of the State Senate of Maine,,2022-07-06T00:00:00Z,2024-04-25T19:00:32Z,2022-06-14T00:00:00Z,,position held
Does Nicole Grohoski hold government position member of the State Senate of Maine?,yes,,2022-07-06T00:00:00Z,2024-04-25T19:00:32Z,2022-06-14T00:00:00Z,,position held
Does Nicole Grohoski hold government position member of the State Senate of Maine?,no,,,2022-07-06T00:00:00Z,,2022-06-14T00:00:00Z,position held
What government position does Mike Lawler hold?,member of the New York State Assembly,,2021-01-01T00:00:00Z,2022-12-31T00:00:00Z,2021-03-10T00:00:00Z,2023-09-01T00:00:00Z,position held
Does Mike Lawler hold government position member of the New York State Assembly?,yes,,2021-01-01T00:00:00Z,2022-12-31T00:00:00Z,2021-03-10T00:00:00Z,2023-09-01T00:00:00Z,position held
Does Mike Lawler hold government position member of the New York State Assembly?,no,,2022-12-31T00:00:00Z,,2023-09-01 00:00:00,,position held
What government position does Mike Lawler hold?,United States representative,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-09-01T00:00:00Z,,position held
Does Mike Lawler hold government position United States representative?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-09-01T00:00:00Z,,position held
Does Mike Lawler hold government position United States representative?,no,,,2023-01-03T00:00:00Z,,2023-09-01T00:00:00Z,position held
What government position does Jeremy Quin hold?,Paymaster General,,2022-10-25T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Jeremy Quin hold government position Paymaster General?,yes,,2022-10-25T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Jeremy Quin hold government position Paymaster General?,no,,,2022-10-25T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Jeremy Quin hold?,Minister for the Cabinet Office,,2022-10-25T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Jeremy Quin hold government position Minister for the Cabinet Office?,yes,,2022-10-25T00:00:00Z,2023-11-13T00:00:00Z,2022-11-01T00:00:00Z,,position held
Does Jeremy Quin hold government position Minister for the Cabinet Office?,no,,,2022-10-25T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Marc Miller hold?,Minister of Crown-Indigenous Relations,,2021-10-26T00:00:00Z,2023-07-26T00:00:00Z,2022-01-01T00:00:00Z,2023-08-01T00:00:00Z,position held
Does Marc Miller hold government position Minister of Crown-Indigenous Relations?,yes,,2021-10-26T00:00:00Z,2023-07-26T00:00:00Z,2022-01-01T00:00:00Z,2023-08-01T00:00:00Z,position held
Does Marc Miller hold government position Minister of Crown-Indigenous Relations?,no,,2023-07-26T00:00:00Z,,2023-08-01 00:00:00,,position held
What government position does Marc Miller hold?,"Minister of Immigration, Refugees and Citizenship",,2023-07-26T00:00:00Z,2024-04-25T19:00:32Z,2023-08-01T00:00:00Z,,position held
"Does Marc Miller hold government position Minister of Immigration, Refugees and Citizenship?",yes,,2023-07-26T00:00:00Z,2024-04-25T19:00:32Z,2023-08-01T00:00:00Z,,position held
"Does Marc Miller hold government position Minister of Immigration, Refugees and Citizenship?",no,,,2023-07-26T00:00:00Z,,2023-08-01T00:00:00Z,position held
What government position does James Miller hold?,vice chancellor University of the West of Scotland,,2022-11-01T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does James Miller hold government position vice chancellor University of the West of Scotland?,yes,,2022-11-01T00:00:00Z,2024-04-25T19:00:32Z,2022-11-01T00:00:00Z,,position held
Does James Miller hold government position vice chancellor University of the West of Scotland?,no,,,2022-11-01T00:00:00Z,,2022-11-01T00:00:00Z,position held
What government position does Michael Glaser hold?,chief of police Kenner,,2014-07-01T00:00:00Z,2022-01-01T00:00:00Z,2017-11-01T00:00:00Z,2022-03-26T00:00:00Z,position held
Does Michael Glaser hold government position chief of police Kenner?,yes,,2014-07-01T00:00:00Z,2022-01-01T00:00:00Z,2017-11-01T00:00:00Z,2022-03-26T00:00:00Z,position held
Does Michael Glaser hold government position chief of police Kenner?,no,,2022-01-01T00:00:00Z,,2022-03-26 00:00:00,,position held
What government position does Megan Green hold?,alderman Board of Aldermen of the City of St. Louis,,2014-10-17T00:00:00Z,2022-11-18T00:00:00Z,2019-03-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Megan Green hold government position alderman Board of Aldermen of the City of St. Louis?,yes,,2014-10-17T00:00:00Z,2022-11-18T00:00:00Z,2019-03-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Megan Green hold government position alderman Board of Aldermen of the City of St. Louis?,no,,2022-11-18T00:00:00Z,,2022-12-01 00:00:00,,position held
What government position does Megan Green hold?,president Board of Aldermen of the City of St. Louis,,2022-11-18T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Megan Green hold government position president Board of Aldermen of the City of St. Louis?,yes,,2022-11-18T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Megan Green hold government position president Board of Aldermen of the City of St. Louis?,no,,,2022-11-18T00:00:00Z,,2022-12-01T00:00:00Z,position held
What government position does Julie Collins hold?,Minister for Housing,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Julie Collins hold government position Minister for Housing?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
What government position does Lee Rowley hold?,Minister of State for Housing,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does Lee Rowley hold government position Minister of State for Housing?,yes,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does Lee Rowley hold government position Minister of State for Housing?,no,,,2023-11-13T00:00:00Z,,2023-11-01T00:00:00Z,position held
What government position does Forrest Dunbar hold?,member Anchorage Assembly,,2016-07-01T00:00:00Z,2023-01-17T00:00:00Z,2021-06-01T00:00:00Z,2023-02-01T00:00:00Z,position held
Does Forrest Dunbar hold government position member Anchorage Assembly?,yes,,2016-07-01T00:00:00Z,2023-01-17T00:00:00Z,2021-06-01T00:00:00Z,2023-02-01T00:00:00Z,position held
Does Forrest Dunbar hold government position member Anchorage Assembly?,no,,2023-01-17T00:00:00Z,,2023-02-01 00:00:00,,position held
What government position does Michelle Donelan hold?,Minister of State for Higher and Further Education,,2021-09-15T00:00:00Z,2022-07-05T00:00:00Z,2021-12-01T00:00:00Z,2022-07-06T00:00:00Z,position held
Does Michelle Donelan hold government position Minister of State for Higher and Further Education?,yes,,2021-09-15T00:00:00Z,2022-07-05T00:00:00Z,2021-12-01T00:00:00Z,2022-07-06T00:00:00Z,position held
Does Michelle Donelan hold government position Minister of State for Higher and Further Education?,no,,2022-07-05T00:00:00Z,,2022-07-06 00:00:00,,position held
What government position does Philip Mounstephen hold?,Anglican Bishop of Winchester,,2023-10-10T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
Does Philip Mounstephen hold government position Anglican Bishop of Winchester?,yes,,2023-10-10T00:00:00Z,2024-04-25T19:00:32Z,2023-12-01T00:00:00Z,,position held
Does Philip Mounstephen hold government position Anglican Bishop of Winchester?,no,,,2023-10-10T00:00:00Z,,2023-12-01T00:00:00Z,position held
What government position does Patty Murray hold?,United States senator,,2021-01-03T00:00:00Z,2023-01-03T00:00:00Z,2021-02-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Patty Murray hold government position United States senator?,yes,,2021-01-03T00:00:00Z,2023-01-03T00:00:00Z,2021-02-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Patty Murray hold government position United States senator?,no,,2023-01-03T00:00:00Z,,2023-01-01 00:00:00,,position held
